,Geo_FIPS,YearOfContactDate,TotalPopEst2015_19ACS_x,Age0to17PopEst2015_19ACS_x,AllPrimaryCarePatientsAge0to17,WellChildVisitsInPastYearAge0to17,AsthmaDiagnosisAge0to17,UnderAge1PopEst2015_19ACS,Unique0to17WithED_Visit,NumberED_VisitsAge0to17,NumberLowAcuityED_VisitsAge0to17,NumberAsthmaRelatedED_Visits,NumberED_VisitsByChildrenUnder1YearOld,NumberOfInjuryRelatedVisits,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,Median Age,Total Population,White Population,Black or African American Population,Asian Population,American Indian and Alaska Native Population,Native Hawaiian and Other Pacific Islander Population,Hispanic or Latino Population,Some Other Race Population,Two or More Races Population,Households,Median Income,ACCESS2_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,"1,1,2-Trichloroethane","1,1,2,2-Tetrachloroethane","1,2-Ethanediol (Ethylene Glycol)","1,3-Butadiene","1,4-Dichlorobenzene","1,4-Dioxane (1,4-Diethyleneoxide)","2,2,4-Trimethylpentane",Acetaldehyde,Acrolein,Acrylic Acid,Acrylonitrile,Ammonia,Antimony,Arsenic,Benzene,Cadmium,Carbon Dioxide,Carbon Disulfide,Carbon Monoxide,Carbon Tetrachloride,Chlorine,Chlorobenzene,Chloroethene (vinyl chloride),Chloroform,Chromium,Cobalt,Cresols/Cresylic Acid (Isomers And Mixture),Cyanides,Dibutylphthalate,Ethyl Chloride (Chloroethane),Ethylbenzene,"Ethylene Dichloride (1,2-Dichloroethane)",Ethylene Oxide,"Ethylidene Dichloride (1,1-Dichloroethane)",Formaldehyde,Glycol Ethers,Hexane,Hexavalent Chromium,Hydrochloric Acid,Hydrogen Fluoride (Hydrofluoric Acid),Hydrogen Sulfide,Isophorone,Lead,m-Xylene,Maleic Anhydride,Manganese,Mercury,Methane,Methanol,Methyl Chloride (Chloromethane),"Methyl Chloroform (1,1,1-Trichloroethane)",Methyl Isobutyl Ketone (4-Methyl-2-Pentanone),Methyl Methacrylate,Methylene Chloride (Dichloromethane),Naphthalene,Nickel,Nitrogen Oxides,Nitrous Oxide (N2O),o-Xylene,"Particulate Matter < 10 Microns, Filterable","Particulate Matter < 2.5 Microns, Filterable","Particulate Matter, Condensable",Phenol,Phosphorus,Phthalic Anhydride,Polycyclic Organic Matter,Propionaldehyde,Propylene Oxide,Selenium,Styrene,Sulfur Oxides,Sulfuric Acid,Tetrachloroethylene (Perchloroethylene),Toluene,Trichloroethylene,"Vinylidene Chloride (1,1-Dichloroethylene)",Volatile Organic Compounds,Xylenes (Isomers And Mixture),Grand Total,TRACT,Pre1950,Year
0,10300,2019.0,728.0,122.0,47.0,36.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,6652.0,4088.0,1948.0,229.0,28.0,0.0,254.0,21.0,338.0,322.0,23603.0,12.9,19.0,51.9,11.1,2.6,63.7,58.1,4.4,38.8,26.5,5.0,17.6,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1074720056979814,0.0,0.0,0.0711226913190559,0.0,57746.64805731767,0.0,26.749009377652776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298114504806406,0.0,0.0,0.0,0.0049734112448009,0.0,0.0,0.0,0.2879425222076646,0.0,1.7977595128375994,0.0,0.0298722324787441,0.0,0.0,0.0,0.013178191608656,0.0,0.0,0.0008517557280183,0.0008045577184171,1.773750927485204,0.5345074185167779,0.0025169472222884,0.0,0.0302033666674608,0.0,0.7675013371297508,0.01941550355598,0.0008517557280183,51.606413375238894,0.2509573851083706,0.0,5.356027462451293,3.162407762096673,1.848928445610338,0.0323667176646955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0198729127355397,0.0,0.0,0.2115974341921549,0.0,0.0,9.69338637779874,0.1173169744706162,57853.16887713032,10300.0,0.658477,2019.0
1,20100,2019.0,5490.0,201.0,67.0,48.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,5490.0,4320.0,472.0,527.0,23.0,0.0,272.0,0.0,148.0,2714.0,77759.0,6.7,22.1,71.8,9.3,3.9,68.4,73.4,3.8,50.2,14.4,6.4,24.9,23.4,0.0075643997806761,0.0,0.0,0.0,0.052950798464733,0.0,0.0,0.0025214665935587,0.0,0.0,0.0,1.119706977373224,0.0,0.0,0.0656415408578805,0.0,75835.56528934708,0.0365612656066014,47.32961677974903,0.0,0.0,0.0012607332967793,0.0,0.0617759315421885,0.0,0.0,0.0289183313822801,0.0,0.0,0.0,0.0044679924905063,0.0012607332967793,0.0,0.0,0.1955742749793537,0.0,1.516184331721039,0.0,0.0178755436175282,0.0,1.4952296899803192,0.0,0.013197892379924,0.0,0.0,0.0008262380394937,0.0005161386604902,1.8662261717753756,0.4273119210044165,0.0025168381485577,0.0113465996710142,0.0302020577826932,0.0,0.2973315545785022,0.0473728923814358,0.0008262380394937,94.92718072369578,0.2675018378894553,0.0,5.331831467989726,3.2468122278546305,1.4428479915997785,0.0313970455007612,0.0,0.0,0.0,0.0,0.0,0.0,0.0012607332967793,0.799758982781607,0.0,0.0479078652776156,0.2991890181602937,0.0075643997806761,0.0,10.466818634236386,0.2403487333630388,76007.31049434171,20100.0,0.321088,2019.0
2,20300,2019.0,1212.0,41.0,38.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,1212.0,1050.0,23.0,121.0,0.0,0.0,36.0,0.0,18.0,821.0,106313.0,4.8,19.7,67.6,8.2,2.8,67.4,80.4,2.8,54.3,12.3,4.9,24.2,23.4,0.0067569094824607,0.0,0.0,0.0,0.0472983663772252,0.0,0.0162981138762841,0.0022523031608202,0.0,0.0,0.0,1.172017574624764,0.0,0.0,0.0743094906346896,0.0,51085.5018286211,0.0326583958318936,26.041296519496903,0.0,0.0,0.0011261515804101,0.0,0.0551814274400961,0.0,0.0,0.0441181562823281,0.0,0.0,0.0,0.0045898920424466,0.0011261515804101,0.0,0.0,0.1911648468132905,0.0,1.4333908787690322,0.0,0.0209913847065243,0.0,1.3356157743664094,0.0,0.0004768441541903,0.0,0.0,0.0012605187509236,0.0005507190930136,1.4364393137763054,0.7411810673076551,0.0,0.0101353642236911,0.0,0.0,0.3527041160552083,0.0536997125565152,0.0012605187509236,43.769514617860864,0.3151086583106774,0.0,2.6670455346063218,1.6869628188892851,1.7056280404047337,0.0478997125350991,0.0,0.0,0.0,0.0,0.0,0.0,0.0011261515804101,0.7466041437064191,0.0,0.0427937600555847,0.1265355006293579,0.0067569094824607,0.0,12.318539084554097,0.1382498516020684,51182.15249391705,20300.0,0.724907,2019.0
3,30500,2019.0,2109.0,381.0,280.0,219.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,2109.0,294.0,1628.0,40.0,2.0,0.0,162.0,0.0,145.0,1145.0,19243.0,14.4,48.3,84.3,12.8,9.9,79.2,79.7,10.6,32.5,26.9,20.5,37.2,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0135896505419441,0.0,0.0,0.0,0.0,0.889147298804146,0.0,0.0,0.0759477499522074,0.0,49475.632878509896,0.0,25.16326539848433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033854674474437,0.0,0.0,0.0,0.0045720566908763,0.0,0.0,0.0,0.2173545223516574,0.0,1.4032772122940114,0.0,0.0246565927162796,0.0,0.0,0.0,0.0117799832970177,0.0,0.0,0.0009672764135553,0.0005629773906388,1.561761848838155,0.5533885440721991,0.0022357312802519,0.0,0.026828775363023,0.0,0.3488218939005611,0.0219711114978232,0.0009672764135553,45.3201562476023,0.256396614698634,0.0,4.530387456313427,2.4613104318936707,1.597345969860775,0.0367565037151031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767789709873868,0.0,0.0,0.2056468643088678,0.0,0.0,10.84099426724493,0.1152500668141748,49572.119863217,30500.0,0.324117,2019.0
4,40200,2019.0,1576.0,100.0,68.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,1576.0,815.0,540.0,168.0,0.0,0.0,56.0,30.0,23.0,600.0,18500.0,11.8,23.3,67.1,11.7,4.0,67.5,61.4,5.5,31.8,22.3,8.0,22.3,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0142938768226897,0.0,0.0,0.0,0.0,2.8102944984392244,0.0,0.0,0.0828327021344991,0.0,122832.02520250552,0.0,37.34618672315222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347765085597321,0.0,0.0,0.0,0.0084163758079984,0.0,0.0,0.0,0.393344272870229,0.0,2.507912618316749,0.0,0.1317419330123916,0.0,0.0,0.0,0.0022263915351821,0.0,0.0,0.000993614530278,0.0025991289898168,3.523591288179671,0.6198688341274694,0.0,0.0,0.0,0.0,0.2689338049137391,0.0308659051358392,0.000993614530278,68.11122048652582,0.6171523721211873,0.0,3.618608644900945,2.203954099462333,2.793629609890855,0.0377573521505663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.422402863484124,0.0,0.0,0.0678305449817925,0.2619411228151975,0.0,18.66463173528978,0.1792961834540605,122977.78349961166,40200.0,0.463549,2019.0
5,40400,2019.0,1871.0,21.0,15.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,1871.0,1202.0,190.0,457.0,0.0,0.0,9.0,0.0,22.0,1181.0,33934.0,8.0,23.9,76.4,8.0,6.3,70.0,69.9,4.8,47.4,11.4,7.2,27.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0168581762293777,0.0,0.0,0.0,0.0,1.2224846651700392,0.0,0.0,0.0695856249485573,0.0,58632.06008631446,0.0,24.291080410089457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0397671612568641,0.0,0.0,0.0,0.0042089843558209,0.0,0.0,0.0,0.1843083887875171,0.0,1.5108680258426703,0.0,0.0214311075053676,0.0,0.0,0.0,0.0005646927936671,0.0,0.0,0.0011362046073389,0.0004754217798697,1.6898826499000903,0.6160349499718221,0.0,0.0,0.0,0.0,0.2444017228551763,0.025427803332084,0.0011362046073389,52.36852687262227,0.3037986362629359,0.0,2.3652391559248747,1.4343145557719863,2.107374123306617,0.043175775078881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7584284380367433,0.0,0.0,0.0448306946579704,0.3512278334606197,0.0,11.972933292140786,0.2162245850750377,58733.96581247083,40400.0,0.405292,2019.0
6,40500,2019.0,3255.0,0.0,20.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,3255.0,2851.0,83.0,219.0,10.0,0.0,79.0,30.0,62.0,1134.0,14702.0,11.7,14.6,42.7,11.8,2.6,61.1,49.9,4.9,36.8,24.6,3.9,15.7,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0145252934046938,0.0,0.0,0.0,0.0,1.467994785856101,0.0,0.0,0.0747954150158151,0.0,69312.078066376,0.0,29.320813608680066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342715562726401,0.0,0.0,0.0,0.0068045379767598,0.0,0.0,0.0,0.287690760995577,0.0,1.625209323533763,0.0,0.0339499390213269,0.0,0.0,0.0,0.0007907376431634,0.0,0.0,0.0009791873220754,0.0007210980394851,2.2478887941189014,0.5458868334709175,0.0,0.0,0.0,0.0,0.2334453684664246,0.0230752625659237,0.0009791873220754,58.263905931856335,0.3410576650468707,0.0,2.882042257545162,1.7640091802373024,2.3500850236397532,0.0372091182388664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9081839890190324,0.0,0.0,0.0442348446886732,0.2944362074685163,0.0,12.94972808408652,0.1872775930354154,69428.02005796056,40500.0,0.547655,2019.0
7,40600,2019.0,2212.0,43.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,2212.0,1883.0,107.0,122.0,0.0,0.0,52.0,0.0,100.0,960.0,18295.0,10.9,15.1,47.8,10.9,2.9,61.4,53.7,4.5,40.2,22.0,4.1,16.8,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0139138270185334,0.0,0.0,0.0,0.0,1.1803322540969847,0.0,0.0,0.0705352276633392,0.0,58303.61249770734,0.0,27.195788909478033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032124705037844,0.0,0.0,0.0,0.0064523411093681,0.0,0.0,0.0,0.2670502902860319,0.0,1.4095788975796415,0.0,0.0263241982290923,0.0,0.0,0.0,0.0006493161719144,0.0,0.0,0.0009178487153669,0.0005622891529776,1.9881498338420789,0.4911265013251058,0.0,0.0,0.0,0.0,0.2138511081470756,0.0212079114204324,0.0009178487153669,49.834781014971455,0.3059514713908919,0.0,2.6211331293964872,1.5831900141138957,1.8890891512676704,0.034878251183945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8103397776042209,0.0,0.0,0.0405261900753605,0.2979510428972364,0.0,11.799934325299503,0.1872916533457646,58405.937047036874,40600.0,0.490532,2019.0
8,40900,2019.0,3577.0,287.0,89.0,71.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,3577.0,2535.0,554.0,194.0,10.0,0.0,142.0,67.0,217.0,1507.0,22648.0,11.1,26.4,70.3,10.7,5.7,66.6,64.3,6.8,40.1,23.6,9.3,27.3,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.254531192792032,0.0,0.0,0.0837310799961792,0.0,68942.9672216205,0.0,38.38768358292316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304867542698731,0.0,0.0,0.0,0.0104762303820694,0.0,0.0,0.0,0.411285831079108,0.0,1.5468619053112047,0.0,0.0302860233499802,0.0,0.0,0.0,0.000774165983236,0.0,0.0,0.0008710501219963,0.0006368627147023,2.735162448703819,0.4711876458595755,0.0,0.0,0.0,0.0,0.218038666286405,0.0205161429155478,0.0008710501219963,57.44711211899757,0.4403672851255615,0.0,3.316705944499018,1.93446895575689,1.9601189442883769,0.0330999046358622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228614577967043,0.0,0.0,0.0302063769668493,0.2690089902072471,0.0,11.752780414934396,0.1677000133605815,69066.54505265989,40900.0,0.613667,2019.0
9,50100,2019.0,1745.0,336.0,364.0,264.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,1745.0,225.0,1468.0,17.0,0.0,0.0,1.0,0.0,35.0,934.0,25079.0,15.7,55.7,86.0,13.1,12.4,81.5,82.5,12.7,31.5,29.7,25.3,40.1,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0156843858021942,0.0,0.0,0.0,0.0,1.0774005889945557,0.0,0.0,0.0728256302907883,0.0,53171.54417725226,0.0,25.699256545097356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405463605683106,0.0,0.0,0.0,0.004779520632396,0.0,0.0,0.0,0.2112038485213038,0.0,1.5404030208952189,0.0,0.0307567643148679,0.0,0.0,0.0,0.0006703404729196,0.0,0.0,0.0011584674448088,0.0006537312463969,1.6623368788714636,0.731400265197946,0.0,0.0,0.0,0.0,0.3092255086578135,0.0265604065439704,0.0011584674448088,46.37351777486652,0.300602505225817,0.0,2.350171863460398,1.2753967672812676,2.198647106975337,0.0440217629027372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7940205121071793,0.0,0.0,0.0465337592306329,0.2534480542078774,0.0,11.877097972111727,0.1641697619151113,53268.647825823544,50100.0,0.540088,2019.0
