"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"1400000US42003010300","Census Tract 103, Allegheny County, Pennsylvania","281","38","22292","16306","61.6","11.6","21719","11616","21.7","10.0","-","**","2.1","3.0","-","**","11.7","9.4","-","**","0.0","7.7","-","**","0.0","7.7","-","**","2.8","3.3","-","**","1.8","2.7","-","**","61.6","11.6","21719","11616","14.9","8.6","20000","14303","36.7","11.9","-","**","33.5","13.0","-","**","14.9","6.3","47000","37112","82","37","-","**","42.7","24.2","-","**","57.3","24.2","-","**","62.2","26.7","-","**","8.5","12.1","-","**","29.3","23.1","-","**","199","34","22813","21768","41.2","17.2","43500","34034","26.1","10.0","-","**","15.1","12.5","-","**","58.8","17.2","20750","14134","46.2","16.7","17500","12057","12.6","9.2","40875","20680","26.0","(X)","(X)","(X)","45.1","(X)","(X)","(X)","18.1","(X)","(X)","(X)",
"1400000US42003020100","Census Tract 201, Allegheny County, Pennsylvania","2042","160","72642","9322","81.1","5.7","79906","21982","9.6","4.0","18824","4709","0.4","0.7","-","**","7.5","3.6","47772","39681","0.0","1.1","-","**","0.0","1.1","-","**","1.4","1.3","-","**","1.1","1.3","-","**","80.4","5.9","79575","20210","9.5","3.9","24069","15026","39.2","6.2","79835","24264","33.0","5.7","107841","68374","18.3","4.4","37216","13278","509","122","171350","42414","9.2","7.4","217788","205352","90.8","7.4","171200","39719","90.0","6.9","170900","43976","3.5","4.1","-","**","6.5","5.8","-","**","1533","180","54360","19797","56.0","8.1","34205","12798","45.5","8.0","33295","6571","10.6","6.1","-","**","44.0","8.1","72830","14386","36.7","7.5","71602","8833","7.2","3.1","104018","37804","21.4","(X)","(X)","(X)","16.1","(X)","(X)","(X)","23.1","(X)","(X)","(X)",
"1400000US42003020300","Census Tract 203, Allegheny County, Pennsylvania","553","48","93125","21115","90.1","4.9","94306","20239","1.6","2.4","-","**","0.0","4.0","-","**","7.1","4.5","82321","56338","0.0","4.0","-","**","0.0","4.0","-","**","1.3","1.9","-","**","2.7","3.0","-","**","88.4","5.5","94861","25747","4.5","3.4","64821","36956","61.3","9.3","93542","20784","29.3","8.3","103000","38825","4.9","3.7","-","**","145","48","150114","40945","11.7","12.3","-","**","88.3","12.3","152045","107860","93.8","9.2","151136","82672","6.2","9.2","-","**","0.0","14.3","-","**","408","58","80000","11107","41.7","9.6","73750","25469","32.8","9.3","62333","23153","8.8","5.2","138125","64275","58.3","9.6","81071","18599","50.0","10.1","77500","10439","8.3","6.8","190833","52247","15.2","(X)","(X)","(X)","27.6","(X)","(X)","(X)","10.8","(X)","(X)","(X)",
"1400000US42003030500","Census Tract 305, Allegheny County, Pennsylvania","1117","96","18730","1999","8.2","4.7","-","**","79.2","7.3","18435","1811","0.4","0.7","-","**","2.2","3.5","-","**","0.0","2.0","-","**","2.5","3.9","-","**","7.3","6.0","-","**","4.5","5.3","-","**","6.9","4.2","-","**","3.8","3.3","-","**","33.4","8.2","19283","8666","24.4","6.8","25234","11758","38.5","6.6","17865","4144","470","98","24904","9756","62.1","12.8","18718","6578","37.9","12.8","50833","24757","30.0","12.5","53625","31008","67.4","13.6","19519","8968","2.6","4.2","-","**","647","91","14981","5150","58.3","11.3","16908","4669","55.0","10.9","16447","4690","3.2","3.7","-","**","41.7","11.3","13790","6837","38.0","12.2","12823","5514","3.7","3.2","35625","3141","35.1","(X)","(X)","(X)","44.9","(X)","(X)","(X)","28.0","(X)","(X)","(X)",
"1400000US42003040200","Census Tract 402, Allegheny County, Pennsylvania","611","61","16250","4452","18.2","6.7","23661","18766","66.0","7.5","12452","5200","0.0","3.6","-","**","10.5","5.1","-","**","0.8","1.2","-","**","0.0","3.6","-","**","4.6","3.6","25714","25162","0.8","1.2","-","**","17.3","6.8","24107","22240","20.8","7.6","-","**","29.8","8.8","-","**","33.2","6.3","9934","7037","16.2","4.6","19464","4647","206","60","22885","15714","46.1","14.7","17292","14718","53.9","14.7","45208","35955","23.3","12.0","68636","23181","70.9","12.1","15833","12770","5.8","7.0","-","**","405","73","12054","8340","64.2","11.1","15521","7828","58.8","11.5","12500","8874","5.4","3.8","41250","8933","35.8","11.1","-","**","19.0","9.0","-","**","16.8","8.7","-","**","35.0","(X)","(X)","(X)","52.9","(X)","(X)","(X)","25.9","(X)","(X)","(X)",
"1400000US42003040400","Census Tract 404, Allegheny County, Pennsylvania","1184","89","24803","6711","65.3","6.3","38750","17779","11.3","6.2","4620","4476","0.0","1.9","-","**","22.0","6.2","13203","8909","0.0","1.9","-","**","0.8","1.2","-","**","0.6","1.0","-","**","1.2","1.5","-","**","64.1","6.6","38750","18212","35.5","6.8","4411","1128","19.9","5.1","-","**","10.8","4.7","63482","12677","33.8","4.7","48594","7518","294","48","57206","50114","4.8","1.3","-","**","95.2","1.3","56176","35220","81.0","9.6","66250","45835","12.6","7.1","85804","57298","6.5","6.7","-","**","890","95","16413","7780","54.5","9.8","15156","10173","35.8","9.2","22292","11685","18.7","8.5","6700","3501","45.5","9.8","17083","11350","30.2","8.7","26250","15166","15.3","7.2","-","**","32.3","(X)","(X)","(X)","33.3","(X)","(X)","(X)","31.9","(X)","(X)","(X)",
"1400000US42003040500","Census Tract 405, Allegheny County, Pennsylvania","1085","80","17275","3247","86.8","5.5","17213","2808","0.9","1.4","-","**","0.0","2.0","-","**","7.1","4.5","-","**","0.0","2.0","-","**","2.2","3.5","-","**","2.9","2.4","6250","3917","4.8","4.3","-","**","85.1","6.0","17565","2635","85.0","6.0","13989","4577","6.5","4.5","24427","11711","3.7","2.9","93036","33169","4.8","3.3","-","**","126","56","-","**","10.3","5.4","-","**","89.7","5.4","-","**","40.5","22.1","-","**","33.3","21.3","-","**","26.2","25.2","-","**","959","87","16373","4115","58.8","9.8","16934","2721","9.0","4.8","9333","4192","49.8","9.5","18200","4170","41.2","9.8","-","**","19.7","7.9","-","**","21.5","8.1","13214","10018","45.0","(X)","(X)","(X)","17.5","(X)","(X)","(X)","47.8","(X)","(X)","(X)",
"1400000US42003040600","Census Tract 406, Allegheny County, Pennsylvania","865","74","19659","3880","83.8","7.1","19750","3732","6.9","4.4","48382","11619","0.0","2.6","-","**","4.2","3.9","-","**","0.0","2.6","-","**","0.0","2.6","-","**","5.1","4.5","6719","3641","0.0","2.6","-","**","83.8","7.1","19750","3732","69.7","7.3","15120","4635","11.4","7.1","-","**","8.9","6.0","42411","24909","9.9","6.5","33770","759","119","69","34821","31451","0.0","17.1","-","**","100.0","17.1","34821","31451","63.0","28.5","34413","28291","0.0","17.1","-","**","37.0","28.5","48676","45559","746","100","17591","3160","47.7","8.1","18318","2429","10.6","6.9","11875","7495","37.1","9.6","19291","3837","52.3","8.1","16121","11121","26.0","8.8","29286","23052","26.3","8.2","-","**","44.7","(X)","(X)","(X)","37.0","(X)","(X)","(X)","46.0","(X)","(X)","(X)",
"1400000US42003040900","Census Tract 409, Allegheny County, Pennsylvania","1223","89","21940","11572","79.2","5.5","27031","16048","11.0","4.5","-","**","0.0","1.8","-","**","6.7","3.8","-","**","0.0","1.8","-","**","0.0","1.8","-","**","3.1","2.4","-","**","3.8","2.0","-","**","76.0","6.0","30573","15664","37.4","6.7","11603","3619","21.4","7.2","51515","31169","22.7","4.7","46429","29363","18.4","3.6","22371","7323","246","59","55446","15145","36.2","12.0","-","**","63.8","12.0","54408","25690","46.7","15.0","84550","25850","37.0","17.0","52566","50067","16.3","13.6","-","**","977","106","16250","4217","39.7","9.3","14133","4837","20.4","7.1","-","**","19.3","8.1","12985","8853","60.3","9.3","-","**","33.8","9.3","-","**","26.5","7.3","-","**","45.5","(X)","(X)","(X)","45.5","(X)","(X)","(X)","45.4","(X)","(X)","(X)",
