_id,fid,state_fp,county_fp,tract_ce,affgeoid,geoid,name,lsad,a_land,a_water,shape_length,shape_area
14950,1,42,003,050900,1400000US42003050900,42003050900,509,CT,452643,4114,0.0450478285686717,4.61751356240217e-05
14951,2,42,003,070300,1400000US42003070300,42003070300,703,CT,428546,0,0.0284841855618051,4.55178112969538e-05
14952,3,42,003,120700,1400000US42003120700,42003120700,1207,CT,514927,0,0.0313717645416214,5.45586239905574e-05
14953,4,42,003,140400,1400000US42003140400,42003140400,1404,CT,834995,0,0.0383741830497629,8.8931837654704e-05
14954,5,42,003,180700,1400000US42003180700,42003180700,1807,CT,393380,0,0.0261418185295879,4.21267635952958e-05
14955,6,42,003,220600,1400000US42003220600,42003220600,2206,CT,430172,0,0.041663888218611,4.69068118861511e-05
14956,7,42,003,270100,1400000US42003270100,42003270100,2701,CT,1039795,131921,0.0483249523242982,0.000124919475006636
14957,8,42,003,281400,1400000US42003281400,42003281400,2814,CT,1328964,0,0.0512126828923479,0.000140333739889628
14958,9,42,003,310300,1400000US42003310300,42003310300,3103,CT,2046497,0,0.0695251576229456,0.00022050195275511
14959,10,42,003,408002,1400000US42003408002,42003408002,4080.02,CT,11667028,0,0.18628220537055,0.00124428388902181
14960,11,42,003,423000,1400000US42003423000,42003423000,4230,CT,907019,88873,0.0502791490728691,0.000105192519373304
14961,12,42,003,429201,1400000US42003429201,42003429201,4292.01,CT,4690076,0,0.101509629523904,0.00049751645187473
14962,13,42,003,447000,1400000US42003447000,42003447000,4470,CT,3888768,0,0.0917924616328423,0.000417564589024316
14963,14,42,003,457200,1400000US42003457200,42003457200,4572,CT,1896849,0,0.0735737474111996,0.00020215472032163
14964,15,42,003,468900,1400000US42003468900,42003468900,4689,CT,1691926,0,0.0559623565506209,0.000180207189523648
14965,16,42,003,475101,1400000US42003475101,42003475101,4751.01,CT,3134653,0,0.0835395596580372,0.000331454768150998
14966,17,42,003,478100,1400000US42003478100,42003478100,4781,CT,1513315,0,0.0583250844957255,0.000160132658766875
14967,18,42,003,486700,1400000US42003486700,42003486700,4867,CT,2492428,248729,0.0722941657769405,0.000290151498837441
14968,19,42,003,490004,1400000US42003490004,42003490004,4900.04,CT,8040949,0,0.134127538088729,0.000858495401244044
14969,20,42,003,494000,1400000US42003494000,42003494000,4940,CT,886861,186785,0.0515288718434597,0.000111991187464437
14970,21,42,003,499300,1400000US42003499300,42003499300,4993,CT,2059493,324290,0.10249965877371,0.000251715975689567
14971,22,42,003,499400,1400000US42003499400,42003499400,4994,CT,2036886,206323,0.0792062567589202,0.000238067157954866
14972,23,42,003,514000,1400000US42003514000,42003514000,5140,CT,1131840,172230,0.0481469262454787,0.000140939443184921
14973,24,42,003,523400,1400000US42003523400,42003523400,5234,CT,3254207,0,0.0733605199493563,0.00034606913505627
14974,25,42,003,552200,1400000US42003552200,42003552200,5522,CT,804397,235833,0.0449934601739731,0.000109439965356222
14975,26,42,003,560400,1400000US42003560400,42003560400,5604,CT,511112,0,0.0329518599933575,5.40606164395328e-05
14976,27,42,003,980000,1400000US42003980000,42003980000,9800,CT,637327,237263,0.0476037879028849,9.25528324430993e-05
14977,28,42,003,980300,1400000US42003980300,42003980300,9803,CT,1294126,0,0.0554343438726781,0.000136601541402558
14978,29,42,003,020300,1400000US42003020300,42003020300,203,CT,1594790,326537,0.0770321968800028,0.000203587709077901
14979,30,42,003,040600,1400000US42003040600,42003040600,406,CT,253062,0,0.0243226222424367,2.60703230909754e-05
14980,31,42,003,080600,1400000US42003080600,42003080600,806,CT,404921,0,0.027237516505042,4.2875654539095e-05
14981,32,42,003,090300,1400000US42003090300,42003090300,903,CT,256777,0,0.024940344957474,2.65587710914829e-05
14982,33,42,003,110200,1400000US42003110200,42003110200,1102,CT,815006,0,0.0382289811718679,8.72798049685373e-05
14983,34,42,003,120400,1400000US42003120400,42003120400,1204,CT,437417,0,0.0301320505097725,4.77966141736117e-05
14984,35,42,003,140200,1400000US42003140200,42003140200,1402,CT,759492,0,0.0444179590337665,8.07724542700708e-05
14985,36,42,003,140800,1400000US42003140800,42003140800,1408,CT,1089074,0,0.0589024556355094,0.000115700999245535
14986,37,42,003,170200,1400000US42003170200,42003170200,1702,CT,1120492,259388,0.0619001194423839,0.000146795564264602
14987,38,42,003,191800,1400000US42003191800,42003191800,1918,CT,1453327,0,0.0701082138335796,0.00015039253002964
14988,39,42,003,250300,1400000US42003250300,42003250300,2503,CT,242446,0,0.0227694890202966,2.53266217321737e-05
14989,40,42,003,401300,1400000US42003401300,42003401300,4013,CT,3338659,0,0.0932814219755669,0.000354996412095749
14990,41,42,003,409000,1400000US42003409000,42003409000,4090,CT,43934370,33866,0.27528419352849,0.00467232150557677
14991,42,42,003,413300,1400000US42003413300,42003413300,4133,CT,5744580,0,0.138892487772563,0.000611220125495716
14992,43,42,003,417200,1400000US42003417200,42003417200,4172,CT,1319446,415229,0.0710655742368024,0.000184365881891069
14993,44,42,003,426800,1400000US42003426800,42003426800,4268,CT,5178198,0,0.0928369714817989,0.000555220644848552
14994,45,42,003,429400,1400000US42003429400,42003429400,4294,CT,3558361,0,0.0994760899773814,0.000381303017710328
14995,46,42,003,431100,1400000US42003431100,42003431100,4311,CT,924161,0,0.0395321922964679,9.70397102410481e-05
14996,47,42,003,446000,1400000US42003446000,42003446000,4460,CT,3875479,465048,0.0882478401043157,0.000462543698271071
14997,48,42,003,450800,1400000US42003450800,42003450800,4508,CT,1364588,299718,0.0698217976538986,0.000176433177918737
14998,49,42,003,457100,1400000US42003457100,42003457100,4571,CT,941726,2737,0.046173147952841,9.78949735884006e-05
14999,50,42,003,460001,1400000US42003460001,42003460001,4600.01,CT,6663602,121528,0.117166353674891,0.00072003882392943
15000,51,42,003,463900,1400000US42003463900,42003463900,4639,CT,1008815,0,0.0506005850578545,0.000105580935911726
15001,52,42,003,468800,1400000US42003468800,42003468800,4688,CT,1089827,0,0.045226380427166,0.000116163942738905
15002,53,42,003,472200,1400000US42003472200,42003472200,4722,CT,651942,0,0.0354253306138707,6.83912102478589e-05
15003,54,42,003,473602,1400000US42003473602,42003473602,4736.02,CT,2450837,6712,0.0796637436450901,0.000256729874965072
15004,55,42,003,475402,1400000US42003475402,42003475402,4754.02,CT,3867968,0,0.0966491223830494,0.000410204317039743
15005,56,42,003,482500,1400000US42003482500,42003482500,4825,CT,2387778,236626,0.114246178914359,0.000282064747087121
15006,57,42,003,488100,1400000US42003488100,42003488100,4881,CT,1696487,0,0.0633593236344634,0.000180694949788497
15007,58,42,003,501000,1400000US42003501000,42003501000,5010,CT,1258267,131999,0.0546590893740826,0.000145933760221488
15008,59,42,003,512000,1400000US42003512000,42003512000,5120,CT,1279394,0,0.0561081222543329,0.000136740808732562
15009,60,42,003,516200,1400000US42003516200,42003516200,5162,CT,808017,0,0.043433037878978,8.7098095446034e-05
15010,61,42,003,521100,1400000US42003521100,42003521100,5211,CT,4694541,0,0.101916948524075,0.000498124583824416
15011,62,42,003,523300,1400000US42003523300,42003523300,5233,CT,3567627,0,0.0940812624199581,0.000378934829892715
15012,63,42,003,524000,1400000US42003524000,42003524000,5240,CT,1307953,235469,0.0637503524469002,0.000163852915006909
15013,64,42,003,526302,1400000US42003526302,42003526302,5263.02,CT,3994239,0,0.0965413667983741,0.00042410871698278
15014,65,42,003,552300,1400000US42003552300,42003552300,5523,CT,830980,0,0.0478153424451218,8.62866191403916e-05
15015,66,42,003,561100,1400000US42003561100,42003561100,5611,CT,414535,0,0.0365045244853408,4.37159715716671e-05
15016,67,42,003,562700,1400000US42003562700,42003562700,5627,CT,910660,5234,0.045654399991898,9.5742787833802e-05
15017,68,42,003,980400,1400000US42003980400,42003980400,9804,CT,1106930,0,0.0618500528798097,0.000118058450416985
15018,69,42,003,981200,1400000US42003981200,42003981200,9812,CT,460275,156913,0.0378798828450657,6.65627509095651e-05
15019,70,42,003,010300,1400000US42003010300,42003010300,103,CT,866087,235982,0.055235288165004,0.000117036756862418
15020,71,42,003,030500,1400000US42003030500,42003030500,305,CT,668309,0,0.0469558688583045,7.19278701925621e-05
15021,72,42,003,050600,1400000US42003050600,42003050600,506,CT,805419,6849,0.0364994795092155,8.45722996214264e-05
15022,73,42,003,141100,1400000US42003141100,42003141100,1411,CT,1226334,163168,0.0653679281171708,0.000146631496224411
15023,74,42,003,271500,1400000US42003271500,42003271500,2715,CT,1393801,0,0.0769280986907477,0.000147076611720468
15024,75,42,003,420000,1400000US42003420000,42003420000,4200,CT,767989,373437,0.0463381047709863,0.000122137543290226
15025,76,42,003,425000,1400000US42003425000,42003425000,4250,CT,1891707,165716,0.0881439828249205,0.000220374740298999
15026,77,42,003,470501,1400000US42003470501,42003470501,4705.01,CT,1128819,0,0.0493526290032101,0.000118639797730773
15027,78,42,003,475304,1400000US42003475304,42003475304,4753.04,CT,4272024,0,0.122616029352874,0.000455837993959256
15028,79,42,003,515300,1400000US42003515300,42003515300,5153,CT,867224,109167,0.04366469073895,0.000101994533354778
15029,80,42,003,552400,1400000US42003552400,42003552400,5524,CT,2044622,200574,0.0951165864344202,0.000240679189297165
15030,81,42,003,981100,1400000US42003981100,42003981100,9811,CT,875989,0,0.0435227129968285,9.31617286324479e-05
15031,82,42,003,472100,1400000US42003472100,42003472100,4721,CT,549881,0,0.0378839207794416,5.71872362820512e-05
15032,83,42,003,515200,1400000US42003515200,42003515200,5152,CT,546485,0,0.0338093322658548,5.99017104326145e-05
