"year","pf_id","facility","pollutant","tons_per_yr","ghg","hap","criteria","sulfur","current","lat","lon"
2010.0,737247.0,Eurovia,Ammonia,0.01,0,0,1,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Arsenic,0.0,0,1,0,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Cadmium,0.0,0,1,0,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Carbon Monoxide,17.93,0,0,1,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Chromium,0.01,0,1,0,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Formaldehyde,0.0,0,1,0,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Hexane,0.01,0,1,0,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Manganese,0.0,0,1,0,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Mercury,0.0001,0,1,0,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Methane,0.01,1,0,0,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Naphthalene,0.07,0,1,0,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Nickel,0.01,0,1,0,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Nitrogen Oxides,6.57,0,0,1,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,"Particulate Matter < 10 Microns, Filterable",0.18,0,0,1,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,"Particulate Matter < 2.5 Microns, Filterable",0.13,0,0,1,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Selenium,0.0,0,1,0,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Sulfur Oxides,6.96,0,0,1,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Volatile Organic Compounds,1.43,0,0,1,0,1,40.37333,-80.11417
2010.0,737247.0,Eurovia,Xylenes (Isomers And Mixture),0.12,0,1,0,0,1,40.37333,-80.11417
2010.0,737248.0,Universal Stainless & Alloy Products,Carbon Monoxide,107.13,0,0,1,0,1,40.365268,-80.097299
2010.0,737248.0,Universal Stainless & Alloy Products,Chromium,0.43,0,1,0,0,1,40.365268,-80.097299
2010.0,737248.0,Universal Stainless & Alloy Products,Lead,0.0192,0,1,1,0,1,40.365268,-80.097299
2010.0,737248.0,Universal Stainless & Alloy Products,Nickel,0.18,0,1,0,0,1,40.365268,-80.097299
2010.0,737248.0,Universal Stainless & Alloy Products,Nitrogen Oxides,56.73,0,0,1,0,1,40.365268,-80.097299
2010.0,737248.0,Universal Stainless & Alloy Products,"Particulate Matter < 10 Microns, Filterable",24.12,0,0,1,0,1,40.365268,-80.097299
2010.0,737248.0,Universal Stainless & Alloy Products,"Particulate Matter < 2.5 Microns, Filterable",17.58,0,0,1,0,1,40.365268,-80.097299
2010.0,737248.0,Universal Stainless & Alloy Products,Sulfur Oxides,13.57,0,0,1,0,1,40.365268,-80.097299
2010.0,737248.0,Universal Stainless & Alloy Products,Volatile Organic Compounds,27.74,0,0,1,0,1,40.365268,-80.097299
2010.0,737249.0,University of Pittsburgh Main Campus,Carbon Monoxide,5.05,0,0,1,0,1,40.44278,-79.95944
2010.0,737249.0,University of Pittsburgh Main Campus,Glycol Ethers,0.0,0,1,0,0,1,40.44278,-79.95944
2010.0,737249.0,University of Pittsburgh Main Campus,Hexane,0.13,0,1,0,0,1,40.44278,-79.95944
2010.0,737249.0,University of Pittsburgh Main Campus,Methanol,0.03,0,1,0,0,1,40.44278,-79.95944
2010.0,737249.0,University of Pittsburgh Main Campus,Methyl Isobutyl Ketone (4-Methyl-2-Pentanone),0.0,0,1,0,0,1,40.44278,-79.95944
2010.0,737249.0,University of Pittsburgh Main Campus,Nitrogen Oxides,6.78,0,0,1,0,1,40.44278,-79.95944
2010.0,737249.0,University of Pittsburgh Main Campus,"Particulate Matter < 10 Microns, Filterable",0.21,0,0,1,0,1,40.44278,-79.95944
2010.0,737249.0,University of Pittsburgh Main Campus,"Particulate Matter < 2.5 Microns, Filterable",0.21,0,0,1,0,1,40.44278,-79.95944
2010.0,737249.0,University of Pittsburgh Main Campus,Sulfur Oxides,0.22,0,0,1,0,1,40.44278,-79.95944
2010.0,737249.0,University of Pittsburgh Main Campus,Toluene,0.07,0,1,0,0,1,40.44278,-79.95944
2010.0,737249.0,University of Pittsburgh Main Campus,Volatile Organic Compounds,3.88,0,0,1,0,1,40.44278,-79.95944
2010.0,737249.0,University of Pittsburgh Main Campus,Xylenes (Isomers And Mixture),0.02,0,1,0,0,1,40.44278,-79.95944
2010.0,737250.0,Basic Carbide Corporation,Ammonia,0.0,0,0,1,0,1,40.2615,-79.7955
2010.0,737250.0,Basic Carbide Corporation,Carbon Monoxide,0.09,0,0,1,0,1,40.2615,-79.7955
2010.0,737250.0,Basic Carbide Corporation,Cobalt,0.01,0,1,0,0,1,40.2615,-79.7955
2010.0,737250.0,Basic Carbide Corporation,Hexane,0.0,0,1,0,0,1,40.2615,-79.7955
2010.0,737250.0,Basic Carbide Corporation,Nitrogen Oxides,0.1,0,0,1,0,1,40.2615,-79.7955
2010.0,737250.0,Basic Carbide Corporation,"Particulate Matter < 10 Microns, Filterable",0.19,0,0,1,0,1,40.2615,-79.7955
2010.0,737250.0,Basic Carbide Corporation,"Particulate Matter < 2.5 Microns, Filterable",0.02,0,0,1,0,1,40.2615,-79.7955
2010.0,737250.0,Basic Carbide Corporation,Sulfur Oxides,0.0,0,0,1,0,1,40.2615,-79.7955
2010.0,737250.0,Basic Carbide Corporation,Volatile Organic Compounds,16.91,0,0,1,0,1,40.2615,-79.7955
2010.0,737251.0,Neville Chemical Company,"1,3-Butadiene",0.0,0,1,0,0,1,40.503449,-80.099378
2010.0,737251.0,Neville Chemical Company,Ammonia,1.45,0,0,1,0,1,40.503449,-80.099378
2010.0,737251.0,Neville Chemical Company,Benzene,0.33,0,1,0,0,1,40.503449,-80.099378
