Year,TractCE,"1,1,2-Trichloroethane","1,1,2,2-Tetrachloroethane","1,2-Ethanediol (Ethylene Glycol)","1,3-Butadiene","1,4-Dichlorobenzene","1,4-Dioxane (1,4-Diethyleneoxide)","2,2,4-Trimethylpentane",Acetaldehyde,Acrolein,Acrylic Acid,Acrylonitrile,Ammonia,Antimony,Arsenic,Benzene,Cadmium,Carbon Dioxide,Carbon Disulfide,Carbon Monoxide,Carbon Tetrachloride,Chlorine,Chlorobenzene,Chloroethene (vinyl chloride),Chloroform,Chromium,Cobalt,Cresols/Cresylic Acid (Isomers And Mixture),Cyanides,Dibutylphthalate,Ethyl Chloride (Chloroethane),Ethylbenzene,"Ethylene Dichloride (1,2-Dichloroethane)",Ethylene Oxide,"Ethylidene Dichloride (1,1-Dichloroethane)",Formaldehyde,Glycol Ethers,Hexane,Hexavalent Chromium,Hydrochloric Acid,Hydrogen Fluoride (Hydrofluoric Acid),Hydrogen Sulfide,Isophorone,Lead,m-Xylene,Maleic Anhydride,Manganese,Mercury,Methane,Methanol,Methyl Chloride (Chloromethane),"Methyl Chloroform (1,1,1-Trichloroethane)",Methyl Isobutyl Ketone (4-Methyl-2-Pentanone),Methyl Methacrylate,Methylene Chloride (Dichloromethane),Naphthalene,Nickel,Nitrogen Oxides,Nitrous Oxide (N2O),o-Xylene,"Particulate Matter < 10 Microns, Filterable","Particulate Matter < 2.5 Microns, Filterable","Particulate Matter, Condensable",Phenol,Phosphorus,Phthalic Anhydride,Polycyclic Organic Matter,Propionaldehyde,Propylene Oxide,Selenium,Styrene,Sulfur Oxides,Sulfuric Acid,Tetrachloroethylene (Perchloroethylene),Toluene,Trichloroethylene,"Vinylidene Chloride (1,1-Dichloroethylene)",Volatile Organic Compounds,Xylenes (Isomers And Mixture),Grand Total
2016,010300,,,,,,,,0.01,0,,,0.23,,,0,,45.28,,5.04,0,,,,0.23,,,,,,,,,,,0.14,,0.3,,0,,,,,,,,,0,0.17,,,,,0.1,0,,14.52,0,,0.06,0.04,0.06,0,,,,,0.01,,,0.75,,,0.03,,,1.91,0.01,68.89
2016,020100,,,,,,,,,,,,0.14,,,,,36318.86,,25.37,,,,,,,,,,,,,,,,,,0.55,,,,,,0.0001,,,,,0.69,,,,,,,,,62.73,0.07,,0.07,0.03,0.1,,,,,,,,,0.18,,,,,,1.65,,36410.4401
2016,040200,,,,,,,,,,,,1.87,,,0,0,73595.12,,4.8,,,,,,0,,,,,,,,,,0.06,,1.12,,,,,,0.0002,,,,,1.41,0.06,,,,,,0.02,0,11.51,0.41,0,0.27,0.2,0.2,,,,,,,,,0.58,,,0.08,,,8.13,0.01,73625.8502
2016,040900,,,,,,,,,,,,0.04,,,0,,10433.08,,7.53,,,,,,0,,,,,,,,,,-0.01,,0.16,,,,,,,,,,,0.2,,,,,,,,0,9.69,0.03,,0.05,0.03,0.03,,,,,,,,,0.12,,,0,,,1.05,0,10452
2016,060300,,,,,,,,,,,,0.02,,,,,,,0.44,,,,,1.8,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,0.6,,,0.53,,,0,0,0,,,,,,,,,0,,,0.6,,,4.13,,8.73
2016,070900,,,,,,,,,,,,0.04,,,0,0,14580.11,,11.07,,,,,,0,,,,,,,,,,-0.01,,0.22,,,,,,,,,,,0.29,0,,,,,,,0,7.96,0.02,,0.02,0.02,0.02,,,,,,,,,0.08,,,0,,,0.69,,14600.53
2016,090100,,,,,,,,,,,,0.03,,,0.41,,10732.94,,29.06,,,,,,0,,0.35,,,,,,,,0,,0.1,,,,,,0.0009,,,0.01,,0.13,,,,,,,0.23,0,18.92,0.01,,5.43,1.88,2.15,0.37,,,,,,,,2.51,,,0.19,,,4.64,0.07,10799.4309
2016,090200,,,,,,,,,,,,0.38,,,,,13601.54,,9.24,,,,,,,,,,,,,,0.02,,0.01,,0.2,,,,,,,,,,,0.26,,,,,,,,0,11.44,0.04,,0.2,0.2,0.64,,,,,,,,,0.75,,,0,,,0.91,,13625.83
2016,101100,,,,,,,0.15,,,,,,,,0.03,,,,0.08,,,,,,,,,,,,,,,,0,,0.27,,,,,,,,,,,,,,,,,,0,,0.1,,,,,,,,,,,,,,,,,0.14,,,23.5,0.07,24.34
2016,120800,,,,,,,,0,,,,0,,,0,,52.17,,0.14,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,,,,,,0.59,0,,0.04,0.04,0.04,,,,,,,,,0.36,,,,3.98,,8.55,2.13,68.04
2016,140500,,,0.1,,,,,,,,,0,,,,,,,0.31,,,,,,,,,,,,,,,,,0.1,0.01,,,,,,,,,,,0.01,,,,,,,0.05,,0.37,,,0.01,0.01,0.02,,,,,,,,,0,,,,,,8.82,0.63,10.44
2016,191700,,,,,,,,,,,,0.02,,,0.07,,901.48,,0.63,,,,,,,,,,,,,,,,0.04,,0.03,,,,,,0.047,,,,,0.02,,0.06,,0.14,,,,,0.75,0,,23.25,12.75,0,0,,,,,,,,0,,,0.76,,,7.72,2.21,949.977
2016,240600,,,,,0,,,,,,,1.39,,,0,0,52178.76,,1.09,,,,,,0,,,,,,,,,,0.04,,0.78,,,,,,0.0002,,,0,,1,,,,,,,0,0,33.47,0.1,,0.1,0.07,0.13,,,,,,,,,0.26,,,0,,,2.71,,52219.9002
2016,401200,,,,,,,,,,,,2.68,,,0,0,119674,,340.1,,,,,,0.68,,,,,,,,,,0,,0.53,,,0.59,,,0.0853,,,0.55,,1.92,,,,,,,,0.4,166.7,0.17,,56.29,53.09,48.18,,,,,,,,,31.38,0,,0,,,45.88,,120423.2253
2016,407001,,,,,,,,,,,,0,,,,,0,,0.08,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,1.42,,0.01,,0.09,0,,0,0,,,,,,,,,2.86,0,,,0.3,,,5.47,0.07,10.3
2016,413500,,,,,,,,,,,,0.03,,,0,0,9734.67,,7.06,,,,,,0,,,,,,,,,,0,,0.14,,,,,,,,,,,0.18,,,,,,,,0,4.6,0.02,,1.35,1.35,0.02,,,,,,,,,0.05,,,0,,,0.45,,9749.92
2016,415001,,,,,,,0.2,,,,,,,,0.13,,1369.64,,0.96,,,,,,,,,,,,,,,,0,,0.89,,,,,,,,,,,0.02,,,,,,,,,1.14,0.02,,0.08,0.08,0.06,,,,,,,,0.01,0.01,,,0.19,,,20.65,0.05,1394.13
2016,417200,,,,,,,,0.85,0.12,,,163.76,0.01,0.16,0.7,0.02,4021791.1,0.05,269.08,,,0.01,,0.02,0,0.04,,1,,0.02,,0.02,,,0.79,6.48,0.37,0.03,4.88,2.05,,2.87,0.3193,0,,0.2,0.0089,289.37,,0.21,0.01,0.6,0.06,0.12,4.9,0.11,4389.99,40.68,,149.74,85.92,125.13,0.01,,,,0.15,0.45,0.52,0.01,2099.99,65.35,,3.32,,,97.3,5.74,4029604.638
2016,419000,,,,,,,,,,,,0.46,,,0.07,,20076.65,,26.57,,,,,,0,,,,,,,,,,0,,0.17,,0.71,0.22,,,0.0033,,,0.01,,8.25,,,,,,,0,0,17.91,0.06,0,5.34,1.92,2.41,,,,,,,0.01,,24.17,,,0,,,1.49,0,20166.4233
