Year,TRACTCE,"1,1,2-Trichloroethane","1,1,2,2-Tetrachloroethane","1,2-Ethanediol (Ethylene Glycol)","1,3-Butadiene","1,4-Dichlorobenzene","1,4-Dioxane (1,4-Diethyleneoxide)","2,2,4-Trimethylpentane",Acetaldehyde,Acrolein,Acrylic Acid,Acrylonitrile,Antimony,Arsenic,Benzene,Benzyl Chloride,Cadmium,Carbon Disulfide,Carbon Tetrachloride,Chlorine,Chlorobenzene,Chloroethene (vinyl chloride),Chloroform,Chromium,Cobalt,Cresols/Cresylic Acid (Isomers And Mixture),Cumene,Cyanides,Dibutylphthalate,Diethanolamine,"Epichlorohydrin (1-Chloro-2,3-Epoxypropane)",Ethyl Chloride (Chloroethane),Ethylbenzene,"Ethylene Dichloride (1,2-Dichloroethane)",Ethylene Oxide,"Ethylidene Dichloride (1,1-Dichloroethane)",Formaldehyde,Glycol Ethers,Hexane,Hexavalent Chromium,Hydrochloric Acid,Hydrogen Fluoride (Hydrofluoric Acid),Isophorone,Lead,m-Xylene,Maleic Anhydride,Manganese,Mercury,Methanol,Methyl Chloride (Chloromethane),"Methyl Chloroform (1,1,1-Trichloroethane)",Methyl Isobutyl Ketone (4-Methyl-2-Pentanone),Methyl Methacrylate,Methylene Chloride (Dichloromethane),Naphthalene,Nickel,o-Xylene,Phenol,Phosphorus,Phthalic Anhydride,Polycyclic Organic Matter,Propionaldehyde,Propylene Dichloride,Propylene Oxide,Selenium,Styrene,Tetrachloroethylene (Perchloroethylene),Toluene,Trichloroethylene,"Vinylidene Chloride (1,1-Dichloroethylene)",Xylenes (Isomers And Mixture),Grand Total
2016,010300,,,,,,,,0.01,0,,,,,0,,,,0,,,,0.23,,,,,,,,,,,,,,0.14,,0.3,,0,,,,,,,,0.17,,,,,0.1,0,,,0,,,,,,0.01,,,,0.03,,,0.01,1
2016,020100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5501
2016,040200,,,,,,,,,,,,,,0,,0,,,,,,,0,,,,,,,,,,,,,0.06,,1.12,,,,,0.0002,,,,,0.06,,,,,,0.02,0,0,,,,,,,,,,,0.08,,,0.01,1.3502
2016,040900,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,-0.01,,0.16,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,0.15
2016,060300,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.6,,,,3.61
2016,070900,,,,,,,,,,,,,,0,,0,,,,,,,0,,,,,,,,,,,,,-0.01,,0.22,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,0.21
2016,090100,,,,,,,,,,,,,,0.41,,,,,,,,,0,,0.35,,,,,,,,,,,0,,0.1,,,,,0.0009,,,0.01,,,,,,,,0.23,0,,0.37,,,,,,,,,,0.19,,,0.07,1.7309
2016,090200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,0.2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,0.23
2016,101100,,,,,,,0.15,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0,,0.27,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0.14,,,0.07,0.66
2016,120800,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,,2.13,6.11
