StateAbbr,PlaceName,PlaceFIPS,Geo_FIPS,Place_TractID,ACCESS2_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,Geolocation,StateDesc,CountyName,CountyFIPS_x,TotalPopulation,CERVICAL_CrudePrev,Year,lat,lon,pop_ct,Geo_FIPS_TractLvl,StateFIPS,CountyFIPS_y,TractFIPS,TotalPopEst2015_19ACS,UnderAge1PopEst2015_19ACS,Age0to17PopEst2015_19ACS,Unique0to17WithED_Visit,NumberED_VisitsAge0to17,NumberLowAcuityED_VisitsAge0to17,NumberAsthmaRelatedED_Visits,NumberED_VisitsByChildrenUnder1YearOld,NumberOfInjuryRelatedVisits,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AllPrimaryCarePatientsAge0to17,WellChildVisitsInPastYearAge0to17,AsthmaDiagnosisAge0to17
PA,Pittsburgh,4261000.0,42003010300.0,4261000-42003010300,19.2,16.2,54.9,11.5,2.3,63.2,49.1,4.1,28.9,28.0,4.8,18.6,28.9,"(40.4357260114, -79.9851241394)",,,,,,2016,"40.4357260114,",-79.9851241394,6600.0,42003010300,42,3,10300,3233.0,17.8,145.0,29.0,53.0,17.0,13.0,2.0,0.0,3.0,50.0,33.0,9.0
PA,Pittsburgh,4261000.0,42003010300.0,4261000-42003010300,14.4,17.1,54.3,10.7,2.0,66.9,51.2,3.8,28.9,23.2,4.4,20.3,29.1,"(40.43572601140, -79.9851241394)",,,,,,2017,40.43572601140,-79.9851241394,6600.0,42003010300,42,3,10300,4147.0,17.8,155.0,28.0,51.0,23.0,25.0,7.0,0.0,9.0,41.0,24.0,5.0
PA,Pittsburgh,4261000.0,42003010300.0,4261000-42003010300,12.6,17.1,54.3,11.6,2.4,65.2,51.2,4.4,38.8,25.3,4.9,20.3,29.4,POINT (-79.9851241394 40.4357260114),,,,,,2018,OINT (-79.9851, 40.4357260114,6600.0,42003010300,42,3,10300,4147.0,17.8,155.0,36.0,60.0,28.0,12.0,12.0,1.0,9.0,44.0,34.0,5.0
PA,Pittsburgh,4261000.0,42003010300.0,4261000-42003010300,12.9,19.0,51.9,11.1,2.6,63.7,58.1,4.4,38.8,26.5,5.0,17.6,29.8,"(40.43572601140, -79.9851241394)",,,,,,2019,40.43572601140,-79.9851241394,6600.0,42003010300,42,3,10300,4147.0,17.8,155.0,38.0,89.0,43.0,18.0,19.0,5.0,15.0,47.0,36.0,5.0
PA,Pittsburgh,4261000.0,42003020100.0,4261000-42003020100,11.7,23.0,74.4,10.0,4.5,68.5,62.2,4.5,35.2,19.0,7.3,28.6,25.2,"(40.4406835306, -80.0000351595)",,,,,,2016,"40.4406835306,",-80.0000351595,3629.0,42003020100,42,3,20100,5490.0,19.0,201.0,41.0,61.0,17.0,9.0,6.0,1.0,7.0,71.0,44.0,7.0
PA,Pittsburgh,4261000.0,42003020100.0,4261000-42003020100,9.0,23.2,74.0,9.6,4.1,71.2,66.8,4.3,35.2,15.5,7.0,29.4,26.5,"(40.44068353060, -80.0000351595)",,,,,,2017,40.44068353060,-80.0000351595,3629.0,42003020100,42,3,20100,5490.0,19.0,201.0,32.0,44.0,12.0,8.0,10.0,4.0,2.0,52.0,33.0,5.0
PA,Pittsburgh,4261000.0,42003020100.0,4261000-42003020100,6.8,23.2,74.0,9.9,4.0,69.8,66.8,4.1,50.2,15.1,6.5,29.4,24.0,POINT (-80.0000351595 40.4406835306),,,,,,2018,OINT (-80.0000, 40.4406835306,3629.0,42003020100,42,3,20100,5490.0,19.0,201.0,41.0,63.0,24.0,10.0,5.0,3.0,5.0,56.0,45.0,6.0
PA,Pittsburgh,4261000.0,42003020100.0,4261000-42003020100,6.7,22.1,71.8,9.3,3.9,68.4,73.4,3.8,50.2,14.4,6.4,24.9,23.4,"(40.44068353060, -80.0000351595)",,,,,,2019,40.44068353060,-80.0000351595,3629.0,42003020100,42,3,20100,5490.0,19.0,201.0,39.0,58.0,35.0,6.0,11.0,1.0,7.0,67.0,48.0,5.0
PA,Pittsburgh,4261000.0,42003020300.0,4261000-42003020300,6.4,21.4,70.8,8.3,3.1,68.8,71.3,2.8,38.3,13.2,5.3,27.3,24.1,"(40.4542542337, -79.9814998549)",,,,,,2016,"40.4542542337,",-79.9814998549,616.0,42003020300,42,3,20300,1212.0,7.2,41.0,16.0,25.0,8.0,7.0,4.0,0.0,2.0,28.0,22.0,3.0
PA,Pittsburgh,4261000.0,42003020300.0,4261000-42003020300,5.3,20.0,70.2,8.0,2.7,71.1,78.4,2.6,38.3,11.0,5.0,26.9,25.4,"(40.45425423370, -79.9814998549)",,,,,,2017,40.45425423370,-79.9814998549,616.0,42003020300,42,3,20300,1212.0,7.2,41.0,9.0,21.0,6.0,7.0,3.0,0.0,4.0,31.0,22.0,2.0
