,Geo_FIPS,YearOfContactDate,ACCESS2_CrudePrev,"Particulate Matter, Condensable",DIABETES_CrudePrev,Age0to17PopEst2015_19ACS_x,OBESITY_CrudePrev,COPD_CrudePrev,White Population,CSMOKING_CrudePrev,Median Age,Median Income,Carbon Monoxide,Pre1950,BPHIGH_CrudePrev,Black or African American Population,CHOLSCREEN_CrudePrev
0,10300,2019.0,12.9,1.848928445610338,5.0,122.0,29.8,4.4,4088.0,26.5,21.8,23603.0,26.749009377652776,0.658477,19.0,1948.0,58.1
1,20100,2019.0,6.7,1.4428479915997785,6.4,201.0,23.4,3.8,4320.0,14.4,29.7,77759.0,47.32961677974903,0.321088,22.1,472.0,73.4
2,20300,2019.0,4.8,1.7056280404047337,4.9,41.0,23.4,2.8,1050.0,12.3,31.7,106313.0,26.041296519496903,0.724907,19.7,23.0,80.4
3,30500,2019.0,14.4,1.597345969860775,20.5,381.0,42.6,10.6,294.0,26.9,40.4,19243.0,25.16326539848433,0.324117,48.3,1628.0,79.7
4,40200,2019.0,11.8,2.793629609890855,8.0,100.0,29.3,5.5,815.0,22.3,23.5,18500.0,37.34618672315222,0.463549,23.3,540.0,61.4
5,40400,2019.0,8.0,2.107374123306617,7.2,21.0,18.2,4.8,1202.0,11.4,32.5,33934.0,24.291080410089457,0.405292,23.9,190.0,69.9
6,40600,2019.0,10.9,1.8890891512676704,4.1,43.0,24.7,4.5,1883.0,22.0,21.6,18295.0,27.195788909478036,0.490532,15.1,107.0,53.7
7,40900,2019.0,11.1,1.9601189442883769,9.3,287.0,30.8,6.8,2535.0,23.6,22.5,22648.0,38.38768358292316,0.613667,26.4,554.0,64.3
8,50100,2019.0,15.7,2.198647106975337,25.3,336.0,48.4,12.7,225.0,29.7,44.5,25079.0,25.69925654509736,0.540088,55.7,1468.0,82.5
9,50600,2019.0,10.4,1.9179509755286384,15.9,319.0,35.0,7.5,348.0,18.1,43.6,52586.0,23.03828886289151,0.60877,45.1,1619.0,85.0
10,50900,2019.0,18.1,1.823986797434253,21.9,339.0,48.2,12.5,40.0,33.1,36.3,15216.0,23.678892761042373,0.494751,48.6,1231.0,74.8
11,51000,2019.0,13.2,4.477189295923727,11.4,161.0,34.8,7.0,885.0,26.3,20.3,12269.0,35.40764371377257,0.197163,29.3,995.0,61.4
12,51100,2019.0,16.7,2.009079669807939,12.6,268.0,41.2,6.9,0.0,29.9,5.9,16563.0,28.16451457535568,0.738431,36.2,254.0,73.8
13,60300,2019.0,8.2,1.647944816502268,8.5,121.0,29.2,5.7,1934.0,19.4,33.9,77147.0,23.07169944291648,0.715549,28.5,192.0,77.7
14,60500,2019.0,8.5,1.6837430403699694,8.8,159.0,28.8,6.5,1107.0,20.7,42.5,55625.0,22.18348706324827,0.843049,29.6,72.0,78.7
15,70300,2019.0,6.2,1.2487012914377262,5.7,156.0,20.8,3.5,1794.0,12.8,27.9,61458.0,14.8150194932472,0.59306,21.1,74.0,75.6
16,70500,2019.0,5.4,1.080655575266661,3.7,117.0,20.5,2.3,2351.0,11.6,28.1,61512.0,12.321708630374092,0.578623,15.1,64.0,72.7
17,70600,2019.0,5.3,1.0303789509694814,4.5,108.0,20.4,2.8,1642.0,11.5,29.7,69491.0,11.936049607756704,0.422666,18.2,134.0,76.5
18,70800,2019.0,5.4,0.8994120908797582,4.8,141.0,20.8,2.8,1884.0,11.4,30.3,64732.0,10.688786501433713,0.442815,18.6,117.0,77.0
19,70900,2019.0,8.4,1.4663316342646606,6.2,187.0,21.6,3.9,2582.0,15.3,28.4,33018.0,24.59989088740413,0.438115,20.7,330.0,70.6
20,80200,2019.0,8.6,1.524679910351031,8.4,119.0,28.2,6.5,1596.0,20.8,32.9,50195.0,21.039433106964548,0.825301,28.4,77.0,76.4
21,80400,2019.0,8.0,1.480945610807622,5.9,74.0,24.5,4.2,1130.0,17.5,29.2,36528.0,20.91487085173153,0.72963,20.7,99.0,70.8
22,80600,2019.0,6.3,1.2678044471041443,5.3,239.0,23.1,3.4,1775.0,14.7,29.8,58873.0,16.426617466090715,0.879556,20.3,47.0,76.9
23,80700,2019.0,7.8,1.147571681528358,6.4,235.0,25.6,3.7,1400.0,16.3,28.4,41500.0,13.018846689168964,0.553542,22.0,180.0,74.7
24,80900,2019.0,6.7,1.3372715193547096,6.3,152.0,24.4,4.1,1615.0,14.9,31.0,61823.0,17.097684328619803,0.6589,23.3,121.0,77.5
25,90100,2019.0,7.4,3.607820045051246,7.5,89.0,26.1,5.4,1848.0,17.6,32.2,73813.0,35.24105670385558,0.88173,26.8,23.0,79.8
26,90200,2019.0,8.1,1.783568103072459,9.5,221.0,26.6,6.9,2538.0,17.9,37.7,63859.0,32.267790798999194,0.828135,32.1,82.0,80.8
27,90300,2019.0,9.1,1.5319898201279645,9.1,113.0,28.9,6.7,1455.0,21.3,35.4,46840.0,22.304228124054813,0.823293,29.0,89.0,76.3
28,100500,2019.0,8.8,1.0246418666967545,14.3,275.0,35.2,6.9,549.0,18.8,47.0,53317.0,11.413972962751084,0.226396,41.6,1221.0,85.3
29,101100,2019.0,8.0,1.072427016040356,7.6,380.0,28.6,5.2,2068.0,18.6,31.9,54457.0,8.812190995853461,0.85543,26.8,410.0,78.4
30,101400,2019.0,7.2,0.5297537892293289,8.1,557.0,27.3,5.6,2709.0,17.6,41.2,63792.0,4.9465574858650125,0.787021,28.6,257.0,81.6
31,101600,2019.0,16.0,1.1662788157384605,18.9,368.0,47.2,10.3,134.0,31.9,28.6,29375.0,12.925257193380409,0.428161,46.3,856.0,77.5
32,101700,2019.0,11.2,1.234841139663175,15.1,249.0,39.1,7.4,411.0,23.4,38.1,37406.0,13.850369512146775,0.637405,41.0,806.0,81.4
33,101800,2019.0,6.9,0.8446322426182424,9.2,369.0,28.0,6.0,1950.0,17.3,45.8,65776.0,6.897152009612772,0.58749,31.7,546.0,83.9
34,110200,2019.0,7.5,0.7579764511552035,8.9,543.0,30.3,5.2,2741.0,18.1,36.1,66648.0,6.627756728850107,0.745016,29.3,850.0,79.8
35,110600,2019.0,5.8,0.6810974128578593,8.4,387.0,27.4,4.8,1942.0,14.3,40.6,91414.0,5.121490446659622,0.676964,29.3,308.0,84.2
36,111300,2019.0,9.1,0.9060685144747576,12.1,559.0,34.9,5.7,1499.0,18.7,35.7,40156.0,10.32743019027808,0.707692,36.2,1140.0,81.5
37,111400,2019.0,12.5,1.0221888293632069,15.7,243.0,39.7,7.6,505.0,24.1,33.4,41250.0,11.70358726582596,0.711382,41.6,808.0,79.6
38,111500,2019.0,10.8,0.9450280383119234,15.8,249.0,37.5,7.6,942.0,21.3,37.1,27003.0,10.905855378558057,0.282576,41.7,1435.0,81.3
39,120300,2019.0,13.1,0.4215862726508562,20.0,427.0,44.3,9.3,542.0,25.7,36.7,31429.0,3.8742956945217655,0.611422,49.8,1413.0,83.5
40,120400,2019.0,16.1,0.675292975224762,24.7,251.0,49.7,12.8,21.0,32.3,41.4,20972.0,5.8308542359218976,0.559735,54.0,551.0,80.5
41,120700,2019.0,15.9,0.4362128896813296,24.1,293.0,45.7,12.1,17.0,27.7,31.6,22625.0,4.795961733134212,0.733696,54.6,822.0,82.6
42,120800,2019.0,16.8,0.8088485791109472,23.1,230.0,44.0,13.3,140.0,29.4,38.9,19085.0,9.64265727236241,0.904762,53.8,672.0,81.5
43,130100,2019.0,18.2,0.0057268926661539,22.8,596.0,49.3,12.7,12.0,33.8,33.9,17901.0,0.98562948207015,0.743519,50.9,1660.0,77.2
